Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
CU128,220u,C_Elec_6.3x5.8,177.294173,-269.919529,90.0,top
CU129,220u,C_Elec_6.3x5.8,225.028,-271.2105,90.0,top
CU130,220u,C_Elec_6.3x5.8,205.453,-269.9275,90.0,top
CU131,220u,C_Elec_6.3x5.8,253.178,-271.2105,90.0,top
CU132,220u,C_Elec_6.3x5.8,233.603,-269.9275,90.0,top
D1,1N4148W,D_SOD-123,99.3635,-118.9845,0.0,top
D2,1N4148W,D_SOD-123,99.3635,-121.7345,180.0,top
D3,1N4148W,D_SOD-123,99.3635,-124.4845,0.0,top
D4,1N4148W,D_SOD-123,91.8635,-137.2345,180.0,top
D5,1N4148W,D_SOD-123,96.8635,-137.2345,180.0,top
D6,1N4148W,D_SOD-123,98.6135,-134.4845,180.0,top
D7,1N4148W,D_SOD-123,94.9135,-162.3225,180.0,top
D8,1N4148W,D_SOD-123,99.3135,-170.1225,90.0,top
D9,1N4148W,D_SOD-123,98.1135,-249.2345,0.0,top
D10,1N4148W,D_SOD-123,92.3635,-249.2345,0.0,top
D11,1N4148W,D_SOD-123,98.1135,-245.9845,180.0,top
D12,LED_Dual_KAK,LED_D3.0mm-3,94.6605,-88.9845,180.0,top
D13,LED_Dual_KAK,LED_D3.0mm-3,108.7105,-88.9845,180.0,top
D14,1N4148W,D_SOD-123,106.4135,-249.9845,0.0,top
D15,1N4148W,D_SOD-123,112.1635,-245.9845,180.0,top
D16,1N4148W,D_SOD-123,112.1635,-249.9845,0.0,top
D17,1N4148W,D_SOD-123,113.4135,-118.9845,0.0,top
D18,1N4148W,D_SOD-123,113.4135,-121.7345,180.0,top
D19,1N4148W,D_SOD-123,113.4135,-124.4845,0.0,top
D20,1N4148W,D_SOD-123,105.9135,-137.2345,180.0,top
D21,1N4148W,D_SOD-123,110.9135,-137.2345,180.0,top
D22,1N4148W,D_SOD-123,112.6635,-134.4845,180.0,top
D23,1N4148W,D_SOD-123,113.3635,-170.1225,90.0,top
D24,1N4148W,D_SOD-123,108.9635,-162.3225,180.0,top
D25,LED_Dual_KAK,LED_D3.0mm-3,122.797,-88.979264,180.0,top
D26,1N4148W,D_SOD-123,120.5,-249.979264,0.0,top
D27,1N4148W,D_SOD-123,126.25,-245.979264,180.0,top
D28,1N4148W,D_SOD-123,126.25,-249.979264,0.0,top
D29,1N4148W,D_SOD-123,127.5,-118.979264,0.0,top
D30,1N4148W,D_SOD-123,127.5,-121.729264,180.0,top
D31,1N4148W,D_SOD-123,127.5,-124.479264,0.0,top
D32,1N4148W,D_SOD-123,120.0,-137.229264,180.0,top
D33,1N4148W,D_SOD-123,125.0,-137.229264,180.0,top
D34,1N4148W,D_SOD-123,126.75,-134.479264,180.0,top
D35,1N4148W,D_SOD-123,127.45,-170.117264,90.0,top
D36,1N4148W,D_SOD-123,123.05,-162.317264,180.0,top
D37,LED_Dual_KAK,LED_D3.0mm-3,136.947,-88.95,180.0,top
D38,1N4148W,D_SOD-123,134.65,-249.95,0.0,top
D39,1N4148W,D_SOD-123,140.4,-245.95,180.0,top
D40,1N4148W,D_SOD-123,140.4,-249.95,0.0,top
D41,1N4148W,D_SOD-123,141.65,-118.95,0.0,top
D42,1N4148W,D_SOD-123,141.65,-121.7,180.0,top
